#: table_doi: 10.17182/hepdata.113470.v1/t11
#: name: Fig ED3a
#: description: Mass distributions for selected $\bar{D}^0D^0\pi^+$ candidates with the $D^0$ background subtracted. Uncertainties on the data points are statistical only and represent one standard deviation, calculated as a sum in quadrature of the assigned weights from the background-subtraction procedure.
#: data_file: Fig_ED3a.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{ar{D}^0 D^0 \pi^+}$ [GEV],$m_{ar{D}^0 D^0 \pi^+}$ [GEV] LOW,$m_{ar{D}^0 D^0 \pi^+}$ [GEV] HIGH,DN/DM [MEV**-1],stat +,stat -
3.9835000000000003,3.983,3.984,1.5249,1.78687,-1.78687
3.9844999999999997,3.984,3.985,10.75007,3.60319,-3.60319
3.9855,3.985,3.986,6.13105,2.68898,-2.68898
3.9865000000000004,3.986,3.987,1.77014,2.24332,-2.24332
3.9875,3.987,3.988,3.73868,2.47833,-2.47833
3.9885,3.988,3.989,-1.23489,1.71665,-1.71665
3.9895,3.989,3.99,1.32803,1.80367,-1.80367
3.9905,3.99,3.991,1.53887,2.0947,-2.0947
3.9915000000000003,3.991,3.992,2.80167,2.54026,-2.54026
3.9924999999999997,3.992,3.993,5.20282,2.62568,-2.62568
3.9935,3.993,3.994,2.56184,2.09013,-2.09013
3.9945000000000004,3.994,3.995,5.23923,2.69372,-2.69372
3.9955,3.995,3.996,8.78388,3.18008,-3.18008
3.9965,3.996,3.997,11.8486,3.62654,-3.62654
3.9975,3.997,3.998,2.90178,2.41741,-2.41741
3.9985,3.998,3.999,4.31822,2.08111,-2.08111
3.9995000000000003,3.999,4.0,1.43603,1.5226,-1.5226
4.000500000000001,4.0,4.001,5.40182,2.54371,-2.54371
4.0015,4.001,4.002,1.58674,1.70005,-1.70005
4.0024999999999995,4.002,4.003,6.89909,2.98628,-2.98628
4.0035,4.003,4.004,9.53962,3.79007,-3.79007
4.0045,4.004,4.005,4.9783,2.50451,-2.50451
4.0055,4.005,4.006,4.42514,2.45987,-2.45987
4.0065,4.006,4.007,7.56347,2.89074,-2.89074
4.0075,4.007,4.008,3.49482,2.09709,-2.09709
4.0085,4.008,4.009,4.59809,2.4176,-2.4176
4.0095,4.009,4.01,4.58294,2.61658,-2.61658
4.0105,4.01,4.011,3.77312,2.09074,-2.09074
4.0115,4.011,4.012,1.46956,1.48068,-1.48068
4.012499999999999,4.012,4.013,-0.51106,0.51106,-0.51106
4.0135000000000005,4.013,4.014,-1.13421,0.7663,-0.7663
4.0145,4.014,4.015,3.67491,1.93326,-1.93326
4.015499999999999,4.015,4.016,4.53824,2.66305,-2.66305
4.016500000000001,4.016,4.017,2.51304,1.86887,-1.86887
4.0175,4.017,4.018,2.11018,2.11017,-2.11017
4.0184999999999995,4.018,4.019,1.58311,2.55004,-2.55004
4.0195,4.019,4.02,3.39101,2.13259,-2.13259

